1. Aarav Sharma | Student | The buses are often late, but the staff is polite.
2. Kavya Reddy | Working Professional | Clean buses, but more frequency is needed during peak hours.
3. Nikhil Verma | Tourist | The routes are confusing for visitors.
4. Meera Iyer | Student | Affordable fares, but seats are limited during rush hours.
5. Arjun Das | Working Professional | The AC buses are great for long routes.
6. Priya Gupta | Tourist | Bus stops lack proper signages.
7. Ananya Mehta | Student | Good service overall, but needs better punctuality.
8. Rajesh Kumar | Working Professional | Convenient for daily travel, but traffic delays are common.
9. Sneha Roy | Tourist | The conductors are helpful in guiding routes.
10. Aditya Singh | Student | Buses are reliable but crowded during school timings.
11. Ishaan Bose | Working Professional | Mobile app tracking would make it more efficient.
12. Tara Kapoor | Tourist | The system is decent but needs more night buses.
13. Vishal Nair | Student | Affordable, but the buses need better maintenance.
14. Riya Patel | Working Professional | Comfortable seating, but ticket counters need improvement.
15. Arvind Joshi | Tourist | It’s a cost-effective option for sightseeing.
16. Shruti Ghosh | Student | Buses are overcrowded during exams.
17. Ravi Mishra | Working Professional | More direct routes would save time.
18. Simran Kaur | Tourist | Decent service, but availability in rural areas is limited.
19. Kunal Jain | Student | The staff is friendly and cooperative.
20. Aditi Rao | Working Professional | Timely services are a plus point.
21. Nisha Yadav | Tourist | Needs better facilities for the elderly.
22. Raghav Pillai | Student | The system is improving but still has delays.
23. Pooja Sen | Working Professional | Good experience overall, but needs better cleanliness.
24. Anirudh Malhotra | Tourist | Helpful staff but lacks multilingual signages.
25. Deepika Chatterjee | Student | The app tracking system is useful but not always accurate.
26. Akshay Kulkarni | Working Professional | Fares are affordable for daily commuters.
27. Preeti Naik | Tourist | Safety measures could be improved.
28. Saurabh Dubey | Student | Free passes for students are a great initiative.
29. Tanvi Aggarwal | Working Professional | Timings during office hours are unpredictable.
30. Vikram Goel | Tourist | The routes cover major areas, which is helpful.
31. Malini Menon | Student | The buses need better air ventilation.
32. Harsh Tiwari | Working Professional | Reliable service but needs faster ticketing.
33. Ankita Pandey | Tourist | Guides at bus stops would be a great addition.
34. Devang Joshi | Student | Helpful conductors make travel easier.
35. Ramesh Chaudhary | Working Professional | Comfortable rides but often delayed by traffic.
36. Ishita Dixit | Tourist | The buses are clean and easy to board.
37. Kartik Sharma | Student | More buses during peak hours would help.
38. Anjali Rane | Working Professional | Overall good experience but needs smoother rides.
39. Manoj Gupta | Tourist | Affordable option for city tours.
40. Neha Kapoor | Student | The system is good but still has scope for improvement.
41. Suman Verma | Working Professional | Real-time tracking would save a lot of waiting time.
42. Arushi Singh | Tourist | Good for local travel but lacks luxury options.
43. Gaurav Mehta | Student | The monthly passes are cost-effective.
44. Varun Reddy | Working Professional | Timely, but the network needs expansion.
45. Ruchi Thakur | Tourist | Comfortable but crowded at tourist spots.
46. Aniket Yadav | Student | The bus stops need more shade.
47. Kiran Shah | Working Professional | Needs priority seating for women and children.
48. Snehal Pawar | Tourist | Friendly conductors enhance the experience.
49. Omkar Patil | Student | The services are consistent, but need more punctuality.
50. Vaishnavi Desai | Working Professional | The connectivity is good, but could be better.
51. Sameer Kaul | Tourist | A good option for exploring the city on a budget.
52. Shravan Iyer | Student | The buses need more maintenance checks.
53. Alka Jain | Working Professional | Timely service with affordable pricing.
54. Ritwik Sinha | Tourist | Routes need to be more tourist-friendly.
55. Kritika Bhatt | Student | Pleased with the service overall.
56. Amit Choudhary | Working Professional | Better frequency during evenings would be ideal.
57. Shweta Reddy | Tourist | Language barriers can be a problem.
58. Adarsh Tiwari | Student | Satisfied with the service provided.
